lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z
0.0,0.0,0.0,-0.06726253032684326,-0.07953059673309326,0.0005682271309979114,-0.11458075046539307,-0.1751108169555664,-0.01104289265481384,-0.15520209074020386,-0.24484330415725708,-0.024204595667697504,-0.17575818300247192,-0.30311208963394165,-0.029717889336325243,-0.08061927556991577,-0.3349565267562866,-0.03409017129001768,-0.17226481437683105,-0.2640247941017151,-0.05529805151877554,-0.15807855129241943,-0.18494516611099243,-0.057619741839744165,-0.12861043214797974,-0.1689664125442505,-0.06058042748031767,-0.03987354040145874,-0.30738821625709534,-0.04816475017128141,-0.15703904628753662,-0.18265897035598755,-0.06978983311114462,-0.13258451223373413,-0.11030781269073486,-0.05924697471914442,-0.10481339693069458,-0.10961258411407471,-0.05435350416360052,-0.017583489418029785,-0.24257683753967285,-0.06341887889561804,-0.12982690334320068,-0.1266535520553589,-0.08128744987902792,-0.10704642534255981,-0.06151348352432251,-0.06085316343364866,-0.07908934354782104,-0.0449213981628418,-0.04995484901724012,-0.0055016279220581055,-0.152144193649292,-0.07998870937285574,-0.08192402124404907,-0.1315993070602417,-0.11027564732489736,-0.13215500116348267,-0.13665515184402466,-0.11910877255854757,-0.17478317022323608,-0.1464153528213501,-0.12339948741851003
0.0,0.0,0.0,-0.06609755754470825,-0.08197891712188721,0.001725064960794498,-0.11392879486083984,-0.18026185035705566,-0.008458009900039087,-0.15453988313674927,-0.2502526044845581,-0.02027310987699593,-0.17440754175186157,-0.3072742819786072,-0.024627402403837095,-0.08063340187072754,-0.33338579535484314,-0.0323841906874236,-0.1718134880065918,-0.26489126682281494,-0.054030969717985045,-0.15741848945617676,-0.18725985288619995,-0.05669077856231297,-0.12795358896255493,-0.17344093322753906,-0.059853624531513105,-0.04038363695144653,-0.30465418100357056,-0.04672047121215428,-0.15740984678268433,-0.1839703917503357,-0.06924932820487584,-0.13294917345046997,-0.11311382055282593,-0.05915550885487164,-0.10501807928085327,-0.11274844408035278,-0.0541698559908923,-0.018314242362976074,-0.23912346363067627,-0.06225578857350911,-0.1296250820159912,-0.1252766251564026,-0.08138852191854085,-0.1060178279876709,-0.06249648332595825,-0.06200362739849652,-0.07716715335845947,-0.04868978261947632,-0.051228754201417814,-0.00562894344329834,-0.1487475037574768,-0.07887886835027302,-0.08186250925064087,-0.1256381869316101,-0.11010559273648823,-0.13370662927627563,-0.12881410121917725,-0.1198696009604987,-0.17760825157165527,-0.13805097341537476,-0.12457435948539342
0.0,0.0,0.0,-0.06653791666030884,-0.07886475324630737,-0.0036324592585970095,-0.11501222848892212,-0.18071836233139038,-0.015348169421713465,-0.1539170742034912,-0.2537381052970886,-0.027518231822114103,-0.17279285192489624,-0.3089812695980072,-0.0320368953327943,-0.07658803462982178,-0.33520618081092834,-0.03748779225156795,-0.16897064447402954,-0.2664005160331726,-0.06097276735113155,-0.15729528665542603,-0.18903690576553345,-0.06501749756739628,-0.12948358058929443,-0.17242121696472168,-0.06855346861289036,-0.03720360994338989,-0.3048452138900757,-0.04896727803156864,-0.15568023920059204,-0.18257689476013184,-0.07350700947449695,-0.13222885131835938,-0.1118001937866211,-0.06559763702557575,-0.10482674837112427,-0.1117207407951355,-0.06205681565211307,-0.015501320362091064,-0.23759186267852783,-0.06190818401978504,-0.12727701663970947,-0.12214726209640503,-0.08334389927790653,-0.10393679141998291,-0.05937182903289795,-0.06698661896393787,-0.07522916793823242,-0.04520982503890991,-0.05784173908637058,-0.0035744905471801758,-0.14629220962524414,-0.07615051272318851,-0.0786256194114685,-0.12690651416778564,-0.10727816673920643,-0.1310281753540039,-0.1317419409751892,-0.1177798942010213,-0.1752471923828125,-0.14103937149047852,-0.12325834336684238
0.0,0.0,0.0,-0.07106316089630127,-0.07536250352859497,-0.004909039137316995,-0.12185120582580566,-0.17209839820861816,-0.014945249201161914,-0.1603790521621704,-0.24038326740264893,-0.02654145205150371,-0.18230032920837402,-0.2879026532173157,-0.03194657446573501,-0.08266115188598633,-0.3265182375907898,-0.024780017451746517,-0.17626959085464478,-0.2564907670021057,-0.053379387722714,-0.16268014907836914,-0.17579114437103271,-0.06657741324733024,-0.132624089717865,-0.1633968949317932,-0.07490489737818962,-0.04485630989074707,-0.29782819747924805,-0.035604071931345516,-0.16093897819519043,-0.18072187900543213,-0.060940128879053646,-0.14091747999191284,-0.10943549871444702,-0.05770055683086639,-0.11374437808990479,-0.11295342445373535,-0.05609304936359649,-0.023292243480682373,-0.231617271900177,-0.04935434194038635,-0.13433748483657837,-0.12186527252197266,-0.07222805278132682,-0.1206972599029541,-0.05984067916870117,-0.05850941793750053,-0.09629136323928833,-0.04933464527130127,-0.04914517061541801,-0.01254969835281372,-0.1434975266456604,-0.06464915828536277,-0.09270048141479492,-0.1127728819847107,-0.09198693291972404,-0.13626629114151,-0.10689681768417358,-0.09851880477498298,-0.16818153858184814,-0.10984140634536743,-0.1000734652740789
0.0,0.0,0.0,-0.06993347406387329,-0.06515228748321533,-0.014727553950081074,-0.11881512403488159,-0.16739028692245483,-0.02424322035295745,-0.1555231809616089,-0.24013209342956543,-0.033135836610028946,-0.17022734880447388,-0.28915995359420776,-0.036825095900724136,-0.07705217599868774,-0.3322250247001648,-0.023496234455535614,-0.15844851732254028,-0.25645679235458374,-0.04714828509969493,-0.1489291787147522,-0.18019336462020874,-0.0581903994469144,-0.12470126152038574,-0.16555720567703247,-0.06426075998825809,-0.037166595458984375,-0.30796581506729126,-0.02831344273073455,-0.1341528296470642,-0.19664698839187622,-0.0500911265997388,-0.12690383195877075,-0.12550538778305054,-0.051601612606475555,-0.11104089021682739,-0.1174803376197815,-0.052330134102533066,-0.00943148136138916,-0.247144877910614,-0.03612968105954906,-0.10350072383880615,-0.14540553092956543,-0.060319298544357025,-0.10619199275970459,-0.07710987329483032,-0.054856897929141724,-0.09698659181594849,-0.05345475673675537,-0.04871705327315112,0.00845348834991455,-0.16463202238082886,-0.04557571340484401,-0.05869680643081665,-0.128936767578125,-0.06862573478503009,-0.09918433427810669,-0.1138988733291626,-0.07378918085379382,-0.1287660002708435,-0.10524219274520874,-0.07358246449513217
0.0,0.0,0.0,-0.07891261577606201,-0.01230156421661377,-0.018023035130966036,-0.14577025175094604,-0.09343647956848145,-0.02427479309545788,-0.18782389163970947,-0.1740351915359497,-0.029566802657711833,-0.21291261911392212,-0.2533259987831116,-0.02945547049449715,-0.13810676336288452,-0.2983700633049011,8.465989384376371e-05,-0.19659560918807983,-0.232558012008667,-0.024678998268711894,-0.17587530612945557,-0.14668095111846924,-0.04458869492219719,-0.14617878198623657,-0.10153406858444214,-0.055039456687438815,-0.11138796806335449,-0.32490283250808716,-0.0020264341640654493,-0.1710890531539917,-0.21898674964904785,-0.021095822207200854,-0.14790654182434082,-0.13040059804916382,-0.027719811178315013,-0.12090647220611572,-0.09072083234786987,-0.02872587797747883,-0.08042281866073608,-0.3134225010871887,-0.00881758110182318,-0.13853305578231812,-0.2115294337272644,-0.030490242518055766,-0.1203506588935852,-0.12885379791259766,-0.025546784154641955,-0.09609490633010864,-0.08619874715805054,-0.017447829819786875,-0.04631835222244263,-0.27689236402511597,-0.018771825931537478,-0.0960092544555664,-0.20567381381988525,-0.03785371278928551,-0.0997387170791626,-0.13189417123794556,-0.03493790199564728,-0.09203451871871948,-0.07826995849609375,-0.0263584224651936
0.0,0.0,0.0,-0.0775710940361023,0.044058799743652344,-0.02327262682132414,-0.16356199979782104,0.012048482894897461,-0.03283454735986879,-0.21503901481628418,-0.04550051689147949,-0.0458856437098234,-0.24269098043441772,-0.1179351806640625,-0.0517094123851507,-0.18421286344528198,-0.15910130739212036,0.004174213137105198,-0.21977251768112183,-0.16382992267608643,-0.03206134473197153,-0.17482149600982666,-0.09517127275466919,-0.05170076971165827,-0.1354420781135559,-0.049880385398864746,-0.054979237515851764,-0.15205228328704834,-0.21524381637573242,0.0024948301516474203,-0.18392980098724365,-0.1983141303062439,-0.040317210156842975,-0.13303226232528687,-0.11175280809402466,-0.05541435887329271,-0.09721851348876953,-0.06267321109771729,-0.05216285844556978,-0.11205732822418213,-0.25038349628448486,-0.0061196100641041085,-0.14193731546401978,-0.2412126064300537,-0.049815661061927585,-0.1030576229095459,-0.13720619678497314,-0.051581057507917194,-0.0721011757850647,-0.07116144895553589,-0.03485260789506128,-0.06982910633087158,-0.27347463369369507,-0.016786276150867252,-0.11393564939498901,-0.3605935573577881,-0.04087589566819361,-0.14573180675506592,-0.4078552722930908,-0.043341721196100025,-0.17494654655456543,-0.447201669216156,-0.03532823433391741
0.0,0.0,0.0,-0.06974655389785767,0.07234686613082886,-0.026542856965477313,-0.15968286991119385,0.07891106605529785,-0.039337033082063044,-0.22222304344177246,0.03776949644088745,-0.054371004600341166,-0.24953949451446533,-0.042194366455078125,-0.061007758278663005,-0.20312732458114624,-0.08082842826843262,0.000681232402769183,-0.23581230640411377,-0.09531742334365845,-0.03487268616657957,-0.17938727140426636,-0.05495500564575195,-0.05096033741932615,-0.13563644886016846,-0.024713635444641113,-0.051638206143195475,-0.17866361141204834,-0.1543196439743042,0.0008224186931897748,-0.20236003398895264,-0.15127521753311157,-0.043811803359801615,-0.14141720533370972,-0.08690458536148071,-0.05827625994783148,-0.1024288535118103,-0.04311305284500122,-0.0534757465611051,-0.14552319049835205,-0.2117234468460083,-0.005866903953517522,-0.16578906774520874,-0.20679336786270142,-0.051548326064164485,-0.11640626192092896,-0.12145489454269409,-0.05315060694914564,-0.0823100209236145,-0.06175917387008667,-0.03560280581217512,-0.1093062162399292,-0.25784099102020264,-0.014357885021979655,-0.159529447555542,-0.326809823513031,-0.037386959094817485,-0.19298642873764038,-0.371049165725708,-0.038807408560330714,-0.2256743311882019,-0.40734973549842834,-0.03013260443907484
0.0,0.0,0.0,-0.06269919872283936,0.08760941028594971,-0.03010856514885063,-0.15777307748794556,0.10489165782928467,-0.043155692201992224,-0.22268730401992798,0.0638619065284729,-0.057243182939430426,-0.25588247179985046,-0.010517418384552002,-0.06325683711185093,-0.2069372534751892,-0.05068314075469971,-0.004812549483915518,-0.23910307884216309,-0.07600659132003784,-0.0414160039843523,-0.17917948961257935,-0.03777593374252319,-0.05871716482653255,-0.1342639923095703,-0.007982432842254639,-0.06086621029390926,-0.18326789140701294,-0.1274469494819641,-0.003552394370501588,-0.20336610078811646,-0.14534592628479004,-0.051337621790310095,-0.13715440034866333,-0.08341145515441895,-0.06742558596744175,-0.09393942356109619,-0.036923229694366455,-0.06335604904307957,-0.15219366550445557,-0.1915484070777893,-0.00924800677313442,-0.17016065120697021,-0.21277761459350586,-0.05585964365019436,-0.11589783430099487,-0.12788552045822144,-0.05616623504175777,-0.07943177223205566,-0.06110489368438721,-0.03866404635920162,-0.1188996434211731,-0.24486908316612244,-0.017031481173773955,-0.17107820510864258,-0.3090370297431946,-0.03985571084632511,-0.20426249504089355,-0.3544366955757141,-0.04060554100288982,-0.23745083808898926,-0.39324986934661865,-0.03241578457965488
0.0,0.0,0.0,-0.05818432569503784,0.0898473858833313,-0.028981401649161853,-0.15138423442840576,0.12034893035888672,-0.04247421684567598,-0.21725094318389893,0.08562242984771729,-0.05719360994999079,-0.2522490620613098,0.012621641159057617,-0.06466320442859796,-0.20706862211227417,-0.03168511390686035,-0.006254002516016044,-0.23536556959152222,-0.06083279848098755,-0.04327266576592592,-0.17591995000839233,-0.027008652687072754,-0.061369120207473316,-0.1311994194984436,-1.233816146850586e-05,-0.06453705119793085,-0.184040367603302,-0.11055570840835571,-0.006207524397268571,-0.20079630613327026,-0.1327446699142456,-0.054423294094249286,-0.13420307636260986,-0.07327926158905029,-0.07168213563863901,-0.09099739789962769,-0.02643197774887085,-0.06904002564851908,-0.15307015180587769,-0.17704081535339355,-0.012818579626127757,-0.1696244478225708,-0.20116937160491943,-0.06104860740606455,-0.11441665887832642,-0.12088584899902344,-0.06298184680645136,-0.07801610231399536,-0.055445730686187744,-0.04677313479487566,-0.11915367841720581,-0.2323167324066162,-0.02108553896550802,-0.17419815063476562,-0.2919102907180786,-0.04597306909863619,-0.20882189273834229,-0.335299015045166,-0.04790211382214693,-0.2437381148338318,-0.37324801087379456,-0.040621503320380725
